1/22/2018,174.382
,
1/19/2018,175.8204
1/18/2018,176.6085
1/17/2018,176.4509
1/16/2018,173.5839
,
1/12/2018,174.4706
1/11/2018,172.6874
1/10/2018,171.7121
1/9/2018,171.7514
1/8/2018,171.7712
,
1/5/2018,172.4115
1/4/2018,170.4707
1/3/2018,169.6825
1/2/2018,169.7121
,
12/29/2017,166.7269
12/28/2017,168.5495
12/27/2017,168.0766
12/26/2017,168.0471
,
12/22/2017,172.4214
12/21/2017,172.4214
12/20/2017,171.7712
12/19/2017,171.9583
12/18/2017,173.8105
,
12/15/2017,171.3968
12/14/2017,169.6727
12/13/2017,169.7219
12/12/2017,169.1604
12/11/2017,170.116
,
12/8/2017,166.8648
12/7/2017,166.8156
12/6/2017,166.5101
12/5/2017,167.1308
12/4/2017,167.2885
,
12/1/2017,168.52
11/30/2017,169.3081
11/29/2017,166.9732
11/28/2017,170.5101
